Qid,Subject,Question,OptA,OptB,OptC,OptD,CAns
2,Networking,The sharing of a medium and its link by two or more devices is called _______,Fully duplexing,Muliplexing,Both a and b,None of the above,Muliplexing
3,Networking,Two devices are in network if,a process in one device is able to exchange information with a process in another device,a process is running on both devices,PIDs of the processes running of different devices are same,None of the above,a process in one device is able to exchange information with a process in another device
4,Networking,Which one of the following computer network is built on the top of another network?,prior network,chief network,prime network,overlay network,overlay network
5,Networking,The OSI model has ___ layers.,4,5,6,7,7
6,Networking,TCP/IP model does not have ______ layer but OSI model have this layer.,session layer,presentation layer,application layer,both a and b,both a and b
7,Networking,Which layer is responsible for process to process delivery?,network layer,transport layer,session layer,data link layer,transport layer
8,Networking,The physical layer concerns with,bit by bit delivery,process to process delivery,application to application delivery,none of the above,bit by bit delivery
9,Networking,A single channel is shared by multiple signals by,analog modulation,digital modulation,multiplexing,none of the above,multiplexing
10,Networking,The data link layer takes the packets from _____ and encapsulates them into frames for transmission.,network layer,physical layer,transport layer,application layer,network layer
11,Networking,Which one of the following is the multiple access protocol for channel access control?,CSMA/CD,CSMA/CA,Both a and b,None of the above,Both a and b
12,Networking,The network layer concerns with,bits,packets,frames,None of the above,packets
13,Networking,Which one of the following algorithm is not used for congestion control?,traffic aware control,admission control,load shedding,None of the above,None of the above
14,DBMS,The ______ clause allows us to select only those rows in the result relation of the ____ clause that satisfy a specified predicate.,"where, from","from, select","selct, from",from where,a
15,DBMS,Which type of command Delete is?,DML,DCL,DDL,None of the above,a
16,DBMS,What does the g in Oracle 10g XE stands for?,Grid,Ground,Gravity,None of the above,a
17,DBMS,The ________ clause is used to list the attributes desired in the result of a query,"where, from",select,from ,distinct,b
18,DBMS,Which one of the following is a set of one or more attributes taken collectively to uniquely identify a record?,candidate key,sub key,super key,foreign key,c
19,DBMS,The relation with the attribute which is the primary key is referenced in another relation. The relation which has the attribute as primary key is called,referential relation,referencing relation,referenced relation,None of the above,b
20,DBMS,A relational database consists of a collection of,tables,fields,records,keys,a
21,DBMS,ÿA ________ in a table represents a relationship among a set of values.,columns,rows,keys,None of the above,b
